user_id,latitude,longitude,timestamp,distance_km,speed_kmh,hour,weekday,is_weekend,day,month,total_distance_km,avg_speed_kmh,max_speed_kmh,movement_frequency,lat_roll,lon_roll,cluster,anomaly,anomaly_score,target_cluster
P001,39.91762657918533,116.35423254122377,2025-01-01 06:05:00,0.0,0.0,6,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.91762657918533,116.35423254122377,6,0,-0.07137282003962309,6
P001,39.91044237172598,116.35057528181424,2025-01-01 06:46:00,0.8558972398030098,1.252532546053185,6,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.91403447545565,116.352403911519,6,0,-0.09632224351540869,6
P001,39.91201434625349,116.35395729088688,2025-01-01 07:43:00,0.3362824937729263,0.353981572392554,7,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.91336109905493,116.35292170464163,6,0,-0.10184055864033409,6
P001,39.91023110744146,116.46007258543136,2025-01-01 08:47:00,9.021971666068938,8.458098436939629,8,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.912578601151566,116.37970942483906,2,0,-0.09922126070560638,2
P001,39.91629062774429,116.34568502829626,2025-01-01 09:32:00,9.746179144284676,12.994905525712902,9,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.913321006470106,116.37290454553049,6,0,-0.08026037632476202,6
P001,39.95482525931155,116.38916811936404,2025-01-01 10:26:00,5.653012680631239,6.281125200701377,10,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.92076074249535,116.37989166115855,5,0,-0.11594524790899652,5
P001,39.90945914681276,116.45307252480026,2025-01-01 11:42:00,7.406950462047157,5.847592470037229,11,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.92056409751271,116.40039110975576,2,0,-0.12480173084102664,2
P001,39.91686308214943,116.35164449828964,2025-01-01 12:21:00,8.660464636606386,13.32379174862521,12,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.92153384469189,116.39992855123633,6,0,-0.09121214259609517,6
P001,39.96249576660305,116.38817113242628,2025-01-01 13:32:00,5.94105153292882,5.020606929235623,13,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.93198677652422,116.3855482606353,5,0,-0.10397395556904138,5
P001,39.91215179545113,116.3527719074016,2025-01-01 14:09:00,6.34676683129412,10.292054321017492,14,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.931159010065585,116.38696563645638,6,0,-0.12346673386632007,6
P001,39.91205945233063,116.3462898345294,2025-01-01 15:47:00,0.5510715296371608,0.3373907324309148,15,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.9226058486694,116.37838997948943,6,0,-0.1292702226753124,6
P001,39.95760138959921,116.39244419420736,2025-01-01 16:11:00,6.398864545651306,15.997161364128264,16,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.93223429722669,116.36626431337086,5,0,-0.07894991265654361,5
P001,39.95540840033199,116.39098409868528,2025-01-01 17:46:00,0.2732343357405597,0.1725690541519324,17,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.939943360863204,116.37413223344997,5,0,-0.11279749138018147,5
P001,39.95578258442071,116.39305511103382,2025-01-01 18:49:00,0.1808695661599215,0.1722567296761157,18,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.938600724426735,116.3751090291715,5,0,-0.10355909833842897,5
P001,39.957209508790434,116.38344279881063,2025-01-01 19:48:00,0.8322571700190504,0.846363223748187,19,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.9476122670946,116.38124320745331,5,0,-0.10046398913627153,5
P001,39.95335369570997,116.38712504968292,2025-01-01 20:00:00,0.5302296716178942,2.651148358089471,20,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.95587111577046,116.389410250484,5,0,-0.09276895400085661,5
P001,39.91196959109507,116.35435725259566,2025-01-01 21:02:00,5.372073783759992,5.198781081058057,21,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.946744756069634,116.38179286216166,6,0,-0.10200271504627328,6
P001,39.95382790239505,116.39073238879296,2025-01-01 22:08:00,5.581004502097595,5.073640456452359,22,2,0,1,1,3354.567722457471,6.331443254134379,150.0,810,39.94642865648225,116.38174252018321,5,0,-0.08036110102543836,5
P001,39.9577767153232,116.38843073717489,2025-01-02 06:33:00,0.4799979545694565,0.0570294599488463,6,3,0,2,1,3354.567722457471,6.331443254134379,150.0,810,39.94682748266275,116.38081764541141,5,0,-0.08988542553924289,5
P001,39.9180029155844,116.34913913053802,2025-01-02 06:33:00,5.535832696502591,0.0,6,3,0,2,1,3354.567722457471,6.331443254134379,150.0,810,39.938986164021536,116.37395691175689,6,0,-0.09803311936295206,6
P001,39.91178191699899,116.35223722334824,2025-01-02 07:59:00,0.7390397072022293,0.515609098048067,7,3,0,2,1,3354.567722457471,6.331443254134379,150.0,810,39.93067180827934,116.36697934648994,6,0,-0.11576004140809515,6
P001,39.91741669873924,116.34807736309148,2025-01-02 08:51:00,0.718488509766853,0.829025203577138,8,3,0,2,1,3354.567722457471,6.331443254134379,150.0,810,39.931761229808174,116.36572336858913,6,0,-0.11971978241927289,6
P001,39.953917287110976,116.392055488569,2025-01-02 09:30:00,5.512610732762154,8.480939588864851,9,3,0,2,1,3354.567722457471,6.331443254134379,150.0,810,39.931779106751364,116.36598798854433,5,0,-0.11724822987390615,5
